X,Y,Z
604.0,-344.0,97.0
604.0,-348.0,102.0
596.0,-368.0,103.0
598.0,-356.0,114.0
606.0,-350.0,96.0
592.0,-344.0,84.0
602.0,-348.0,84.0
596.0,-346.0,91.0
590.0,-346.0,97.0
600.0,-356.0,90.0
600.0,-336.0,105.0
582.0,-352.0,95.0
592.0,-334.0,103.0
602.0,-338.0,105.0
590.0,-332.0,86.0
592.0,-344.0,106.0
594.0,-352.0,83.0
604.0,-344.0,86.0
592.0,-340.0,89.0
604.0,-350.0,86.0
598.0,-356.0,95.0
582.0,-350.0,82.0
614.0,-350.0,87.0
606.0,-340.0,93.0
598.0,-338.0,86.0
580.0,-332.0,92.0
606.0,-350.0,99.0
604.0,-344.0,91.0
594.0,-336.0,96.0
590.0,-338.0,112.0
596.0,-350.0,107.0
594.0,-346.0,87.0
586.0,-340.0,99.0
592.0,-340.0,92.0
588.0,-338.0,99.0
580.0,-342.0,107.0
600.0,-358.0,102.0
574.0,-346.0,104.0
596.0,-330.0,80.0
594.0,-340.0,108.0
590.0,-340.0,96.0
578.0,-342.0,103.0
588.0,-340.0,81.0
588.0,-348.0,100.0
586.0,-348.0,89.0
592.0,-342.0,108.0
592.0,-342.0,80.0
604.0,-340.0,87.0
588.0,-334.0,94.0
600.0,-350.0,95.0
592.0,-344.0,111.0
588.0,-344.0,94.0
594.0,-334.0,90.0
596.0,-348.0,82.0
594.0,-346.0,75.0
594.0,-344.0,92.0
604.0,-362.0,93.0
596.0,-350.0,85.0
584.0,-340.0,95.0
586.0,-354.0,87.0
572.0,-344.0,75.0
596.0,-338.0,95.0
584.0,-338.0,114.0
594.0,-346.0,102.0
594.0,-358.0,110.0
562.0,-346.0,100.0
588.0,-332.0,109.0
584.0,-346.0,99.0
592.0,-348.0,108.0
604.0,-356.0,86.0
590.0,-358.0,90.0
588.0,-352.0,108.0
588.0,-348.0,103.0
598.0,-340.0,117.0
594.0,-340.0,85.0
596.0,-344.0,89.0
584.0,-352.0,103.0
602.0,-342.0,105.0
582.0,-326.0,104.0
592.0,-336.0,103.0
592.0,-352.0,89.0
582.0,-344.0,97.0
600.0,-330.0,99.0
604.0,-336.0,73.0
582.0,-352.0,91.0
604.0,-328.0,92.0
596.0,-342.0,113.0
598.0,-352.0,88.0
588.0,-344.0,89.0
586.0,-334.0,87.0
576.0,-346.0,89.0
584.0,-348.0,97.0
592.0,-352.0,96.0
594.0,-360.0,98.0
604.0,-352.0,90.0
596.0,-356.0,112.0
588.0,-346.0,97.0
594.0,-348.0,90.0
596.0,-344.0,110.0
594.0,-340.0,80.0
586.0,-348.0,90.0
580.0,-338.0,97.0
598.0,-330.0,91.0
582.0,-356.0,86.0
594.0,-354.0,92.0
582.0,-348.0,113.0
590.0,-346.0,63.0
596.0,-346.0,86.0
588.0,-336.0,91.0
588.0,-356.0,80.0
596.0,-350.0,111.0
606.0,-346.0,79.0
584.0,-352.0,91.0
584.0,-338.0,83.0
598.0,-350.0,75.0
596.0,-348.0,91.0
598.0,-360.0,89.0
602.0,-370.0,103.0
588.0,-348.0,106.0
604.0,-350.0,70.0
590.0,-334.0,113.0
584.0,-348.0,97.0
588.0,-336.0,96.0
594.0,-348.0,86.0
600.0,-350.0,87.0
594.0,-350.0,88.0
594.0,-344.0,104.0
578.0,-348.0,62.0
592.0,-338.0,104.0
590.0,-344.0,101.0
592.0,-360.0,79.0
580.0,-366.0,95.0
582.0,-340.0,87.0
588.0,-344.0,82.0
594.0,-342.0,92.0
606.0,-346.0,100.0
592.0,-330.0,100.0
600.0,-336.0,83.0
588.0,-344.0,83.0
582.0,-352.0,105.0
586.0,-352.0,93.0
584.0,-346.0,93.0
604.0,-340.0,103.0
584.0,-354.0,105.0
578.0,-358.0,116.0
596.0,-352.0,97.0
588.0,-344.0,101.0
586.0,-350.0,104.0
580.0,-342.0,107.0
570.0,-354.0,101.0
594.0,-336.0,94.0
590.0,-346.0,118.0
578.0,-340.0,76.0
598.0,-328.0,111.0
588.0,-346.0,80.0
578.0,-338.0,91.0
586.0,-334.0,84.0
602.0,-358.0,102.0
588.0,-344.0,107.0
586.0,-338.0,117.0
590.0,-352.0,92.0
582.0,-354.0,119.0
578.0,-352.0,109.0
588.0,-358.0,114.0
590.0,-336.0,119.0
602.0,-342.0,100.0
606.0,-340.0,108.0
590.0,-346.0,116.0
590.0,-352.0,119.0
576.0,-350.0,117.0
594.0,-338.0,94.0
584.0,-348.0,126.0
578.0,-330.0,112.0
594.0,-340.0,83.0
568.0,-336.0,121.0
600.0,-338.0,111.0
584.0,-344.0,96.0
578.0,-336.0,99.0
574.0,-334.0,122.0
600.0,-338.0,105.0
594.0,-334.0,96.0
594.0,-338.0,97.0
600.0,-344.0,72.0
596.0,-336.0,86.0
594.0,-352.0,49.0
598.0,-338.0,49.0
600.0,-334.0,49.0
608.0,-346.0,-2.0
596.0,-360.0,7.0
614.0,-368.0,-7.0
620.0,-374.0,-58.0
654.0,-362.0,-78.0
644.0,-364.0,-92.0
664.0,-364.0,-117.0
668.0,-368.0,-148.0
676.0,-382.0,-171.0
692.0,-374.0,-191.0
694.0,-360.0,-208.0
706.0,-368.0,-247.0
702.0,-360.0,-277.0
720.0,-366.0,-286.0
730.0,-346.0,-292.0
714.0,-350.0,-304.0
712.0,-358.0,-327.0
730.0,-344.0,-325.0
736.0,-344.0,-341.0
738.0,-352.0,-333.0
758.0,-348.0,-333.0
742.0,-356.0,-324.0
734.0,-350.0,-329.0
734.0,-348.0,-333.0
734.0,-352.0,-311.0
736.0,-358.0,-308.0
732.0,-346.0,-304.0
716.0,-358.0,-302.0
730.0,-348.0,-322.0
720.0,-348.0,-310.0
720.0,-338.0,-318.0
726.0,-332.0,-308.0
722.0,-338.0,-292.0
722.0,-324.0,-286.0
714.0,-330.0,-283.0
710.0,-338.0,-295.0
692.0,-348.0,-253.0
716.0,-332.0,-281.0
694.0,-334.0,-260.0
670.0,-326.0,-255.0
666.0,-312.0,-255.0
652.0,-332.0,-254.0
648.0,-300.0,-254.0
632.0,-300.0,-223.0
640.0,-304.0,-269.0
620.0,-290.0,-237.0
614.0,-288.0,-227.0
602.0,-288.0,-236.0
600.0,-272.0,-199.0
584.0,-278.0,-192.0
568.0,-270.0,-185.0
548.0,-256.0,-189.0
540.0,-256.0,-173.0
552.0,-248.0,-164.0
538.0,-236.0,-148.0
530.0,-230.0,-148.0
520.0,-252.0,-109.0
500.0,-216.0,-114.0
508.0,-214.0,-135.0
498.0,-208.0,-107.0
498.0,-200.0,-105.0
494.0,-190.0,-111.0
492.0,-192.0,-115.0
476.0,-192.0,-111.0
476.0,-182.0,-97.0
468.0,-180.0,-110.0
460.0,-172.0,-109.0
446.0,-158.0,-88.0
444.0,-144.0,-72.0
448.0,-160.0,-77.0
438.0,-140.0,-72.0
430.0,-146.0,-71.0
422.0,-120.0,-85.0
414.0,-122.0,-68.0
422.0,-106.0,-50.0
406.0,-110.0,-76.0
394.0,-90.0,-59.0
396.0,-88.0,-69.0
398.0,-80.0,-68.0
400.0,-60.0,-60.0
404.0,-58.0,-81.0
382.0,-58.0,-52.0
382.0,-52.0,-54.0
370.0,-50.0,-99.0
382.0,-42.0,-81.0
372.0,-26.0,-105.0
376.0,-26.0,-84.0
370.0,-32.0,-83.0
364.0,8.0,-82.0
364.0,18.0,-96.0
352.0,22.0,-90.0
366.0,28.0,-102.0
358.0,34.0,-88.0
352.0,40.0,-126.0
358.0,58.0,-95.0
356.0,64.0,-99.0
322.0,56.0,-119.0
342.0,66.0,-125.0
334.0,64.0,-116.0
342.0,74.0,-131.0
338.0,100.0,-119.0
338.0,98.0,-135.0
334.0,100.0,-151.0
312.0,106.0,-142.0
320.0,120.0,-137.0
336.0,114.0,-150.0
326.0,122.0,-153.0
328.0,118.0,-165.0
322.0,122.0,-153.0
348.0,120.0,-191.0
342.0,132.0,-192.0
342.0,128.0,-196.0
336.0,130.0,-207.0
344.0,134.0,-214.0
346.0,154.0,-229.0
354.0,140.0,-221.0
344.0,146.0,-250.0
352.0,152.0,-245.0
346.0,148.0,-250.0
344.0,146.0,-252.0
338.0,154.0,-251.0
348.0,168.0,-255.0
354.0,160.0,-262.0
366.0,168.0,-260.0
332.0,182.0,-291.0
350.0,170.0,-268.0
354.0,178.0,-265.0
338.0,186.0,-260.0
350.0,190.0,-255.0
344.0,184.0,-276.0
354.0,196.0,-258.0
354.0,194.0,-265.0
336.0,196.0,-262.0
342.0,208.0,-261.0
338.0,200.0,-263.0
340.0,208.0,-255.0
346.0,204.0,-269.0
336.0,212.0,-271.0
344.0,218.0,-253.0
356.0,214.0,-253.0
332.0,224.0,-245.0
352.0,222.0,-262.0
352.0,238.0,-272.0
348.0,218.0,-257.0
348.0,226.0,-254.0
338.0,228.0,-267.0
342.0,246.0,-289.0
336.0,242.0,-287.0
338.0,250.0,-280.0
332.0,250.0,-272.0
330.0,250.0,-291.0
330.0,248.0,-285.0
328.0,254.0,-287.0
322.0,242.0,-289.0
332.0,268.0,-272.0
324.0,268.0,-279.0
330.0,278.0,-291.0
318.0,284.0,-267.0
314.0,288.0,-286.0
320.0,270.0,-285.0
330.0,272.0,-263.0
314.0,284.0,-274.0
320.0,290.0,-267.0
312.0,302.0,-289.0
330.0,296.0,-273.0
306.0,294.0,-269.0
316.0,306.0,-296.0
320.0,308.0,-278.0
324.0,314.0,-274.0
320.0,306.0,-296.0
320.0,318.0,-273.0
326.0,320.0,-290.0
328.0,312.0,-290.0
328.0,298.0,-294.0
320.0,310.0,-294.0
340.0,294.0,-279.0
330.0,298.0,-319.0
350.0,306.0,-308.0
350.0,294.0,-312.0
348.0,296.0,-316.0
352.0,282.0,-319.0
354.0,286.0,-321.0
376.0,298.0,-353.0
374.0,294.0,-330.0
368.0,290.0,-363.0
374.0,280.0,-350.0
374.0,280.0,-365.0
364.0,270.0,-343.0
374.0,278.0,-331.0
376.0,278.0,-358.0
400.0,262.0,-371.0
392.0,246.0,-368.0
386.0,234.0,-371.0
402.0,224.0,-356.0
402.0,242.0,-376.0
418.0,218.0,-384.0
432.0,214.0,-382.0
424.0,214.0,-383.0
420.0,190.0,-364.0
442.0,176.0,-394.0
446.0,168.0,-402.0
448.0,162.0,-399.0
442.0,140.0,-400.0
450.0,138.0,-397.0
466.0,100.0,-375.0
464.0,96.0,-395.0
484.0,92.0,-399.0
478.0,70.0,-405.0
482.0,64.0,-394.0
510.0,54.0,-402.0
510.0,40.0,-405.0
534.0,16.0,-392.0
532.0,6.0,-399.0
534.0,-24.0,-419.0
570.0,-56.0,-426.0
564.0,-52.0,-404.0
592.0,-54.0,-430.0
582.0,-68.0,-411.0
606.0,-98.0,-424.0
608.0,-100.0,-442.0
638.0,-102.0,-425.0
650.0,-128.0,-422.0
670.0,-144.0,-423.0
694.0,-150.0,-413.0
718.0,-178.0,-420.0
732.0,-186.0,-423.0
756.0,-208.0,-396.0
778.0,-224.0,-391.0
782.0,-238.0,-406.0
790.0,-240.0,-378.0
804.0,-270.0,-371.0
800.0,-280.0,-370.0
820.0,-302.0,-351.0
836.0,-300.0,-342.0
834.0,-300.0,-360.0
850.0,-312.0,-349.0
862.0,-322.0,-333.0
860.0,-326.0,-325.0
870.0,-326.0,-330.0
864.0,-328.0,-319.0
864.0,-344.0,-318.0
858.0,-330.0,-315.0
838.0,-320.0,-322.0
842.0,-330.0,-318.0
842.0,-326.0,-310.0
850.0,-322.0,-304.0
822.0,-304.0,-319.0
832.0,-314.0,-321.0
810.0,-304.0,-335.0
800.0,-306.0,-319.0
