514.0	-328.0	37.0
512.0	-308.0	52.0
522.0	-320.0	24.0
514.0	-322.0	40.0
526.0	-318.0	43.0
504.0	-314.0	34.0
522.0	-322.0	48.0
514.0	-322.0	26.0
508.0	-318.0	53.0
520.0	-326.0	52.0
522.0	-342.0	-1.0
522.0	-320.0	43.0
530.0	-320.0	43.0
520.0	-322.0	52.0
512.0	-312.0	47.0
514.0	-320.0	42.0
520.0	-320.0	46.0
506.0	-320.0	44.0
520.0	-330.0	38.0
506.0	-324.0	45.0
500.0	-324.0	44.0
520.0	-320.0	34.0
510.0	-316.0	39.0
876.0	-36.0	-596.0
878.0	-52.0	-611.0
868.0	-30.0	-627.0
868.0	-24.0	-610.0
886.0	-40.0	-617.0
872.0	-50.0	-609.0
870.0	-38.0	-612.0
866.0	-48.0	-617.0
876.0	-58.0	-604.0
882.0	-48.0	-623.0
878.0	-44.0	-603.0
878.0	-50.0	-626.0
876.0	-36.0	-629.0
882.0	-50.0	-614.0
884.0	-46.0	-619.0
876.0	-32.0	-618.0
884.0	-36.0	-617.0
870.0	-44.0	-617.0
868.0	-48.0	-621.0
874.0	-52.0	-624.0
870.0	-34.0	-611.0
874.0	-52.0	-634.0
868.0	-20.0	-605.0
866.0	-26.0	-606.0
862.0	-14.0	-633.0
882.0	-28.0	-604.0
884.0	-48.0	-607.0
874.0	-34.0	-616.0
866.0	2.0	-618.0
872.0	-32.0	-614.0
874.0	-44.0	-608.0
898.0	-42.0	-624.0
884.0	-28.0	-617.0
878.0	-28.0	-612.0
870.0	-36.0	-618.0
884.0	-42.0	-611.0
876.0	-40.0	-618.0
860.0	-40.0	-620.0
882.0	-38.0	-597.0
872.0	-34.0	-619.0
866.0	-36.0	-611.0
868.0	-42.0	-619.0
884.0	-36.0	-613.0
892.0	-42.0	-614.0
878.0	-32.0	-600.0
878.0	-16.0	-614.0
882.0	-52.0	-619.0
876.0	-50.0	-606.0
872.0	-42.0	-604.0
880.0	-32.0	-614.0
872.0	-48.0	-609.0
866.0	-34.0	-593.0
880.0	-52.0	-608.0
868.0	-46.0	-614.0
884.0	-58.0	-609.0
876.0	-28.0	-626.0
868.0	-44.0	-608.0
870.0	-36.0	-609.0
876.0	-22.0	-613.0
884.0	-44.0	-609.0
880.0	-38.0	-583.0
878.0	-32.0	-615.0
886.0	-16.0	-583.0
878.0	-36.0	-614.0
882.0	-30.0	-616.0
874.0	-30.0	-607.0
874.0	-30.0	-594.0
870.0	-34.0	-615.0
874.0	-40.0	-600.0
866.0	-48.0	-602.0
874.0	-38.0	-587.0
876.0	-46.0	-607.0
876.0	-48.0	-616.0
884.0	-44.0	-594.0
868.0	-44.0	-607.0
884.0	-36.0	-602.0
868.0	-40.0	-599.0
876.0	-44.0	-588.0
882.0	-36.0	-607.0
882.0	-38.0	-612.0
876.0	-12.0	-585.0
878.0	-34.0	-618.0
864.0	-40.0	-600.0
886.0	-24.0	-608.0
884.0	-10.0	-612.0
868.0	-34.0	-621.0
870.0	-14.0	-604.0
878.0	-44.0	-602.0
878.0	-40.0	-613.0
890.0	-14.0	-613.0
876.0	-34.0	-601.0
884.0	-42.0	-593.0
888.0	-46.0	-621.0
880.0	-32.0	-618.0
874.0	-32.0	-605.0
868.0	-44.0	-623.0
882.0	-50.0	-608.0
870.0	-52.0	-608.0
874.0	-42.0	-635.0
884.0	-30.0	-617.0
870.0	-44.0	-593.0
888.0	-44.0	-620.0
874.0	-34.0	-595.0
864.0	-32.0	-600.0
880.0	-46.0	-614.0
878.0	-14.0	-608.0
868.0	-44.0	-616.0
884.0	-44.0	-605.0
872.0	-38.0	-608.0
868.0	-38.0	-621.0
868.0	-30.0	-614.0
874.0	-52.0	-612.0
896.0	-42.0	-634.0
878.0	-42.0	-618.0
872.0	-50.0	-625.0
880.0	-34.0	-620.0
876.0	-24.0	-612.0
876.0	-40.0	-612.0
872.0	-42.0	-627.0
874.0	-40.0	-592.0
888.0	-36.0	-607.0
876.0	-40.0	-601.0
864.0	-34.0	-622.0
900.0	-36.0	-625.0
886.0	-38.0	-616.0
876.0	-36.0	-608.0
872.0	-50.0	-616.0
886.0	-38.0	-611.0
886.0	-52.0	-608.0
880.0	-40.0	-615.0
888.0	-50.0	-630.0
880.0	-34.0	-642.0
862.0	-56.0	-609.0
878.0	-48.0	-617.0
878.0	-36.0	-614.0
880.0	-32.0	-604.0
884.0	-26.0	-598.0
874.0	-48.0	-627.0
880.0	-40.0	-613.0
880.0	-46.0	-605.0
896.0	-56.0	-613.0
876.0	-44.0	-633.0
890.0	-40.0	-609.0
882.0	-44.0	-615.0
882.0	-46.0	-611.0
868.0	-38.0	-609.0
890.0	-30.0	-581.0
888.0	-50.0	-631.0
880.0	-38.0	-625.0
878.0	-14.0	-615.0
878.0	-40.0	-628.0
876.0	-40.0	-618.0
888.0	-48.0	-599.0
878.0	-34.0	-610.0
882.0	-50.0	-617.0
868.0	-38.0	-610.0
886.0	-42.0	-611.0
872.0	-36.0	-625.0
898.0	-48.0	-616.0
876.0	-34.0	-608.0
884.0	-36.0	-618.0
884.0	-36.0	-606.0
890.0	-46.0	-605.0
878.0	-38.0	-609.0
874.0	-34.0	-611.0
870.0	-36.0	-622.0
874.0	-44.0	-620.0
868.0	-44.0	-615.0
880.0	-44.0	-623.0
870.0	-36.0	-599.0
884.0	-42.0	-608.0
880.0	-18.0	-612.0
880.0	-34.0	-623.0
874.0	-26.0	-602.0
882.0	-32.0	-609.0
880.0	-48.0	-628.0
884.0	-44.0	-630.0
882.0	-30.0	-587.0
874.0	-50.0	-613.0
878.0	-34.0	-604.0
872.0	-42.0	-622.0
884.0	-36.0	-594.0
886.0	-38.0	-615.0
882.0	-36.0	-598.0
884.0	-34.0	-602.0
876.0	-42.0	-596.0
884.0	-34.0	-612.0
876.0	-38.0	-606.0
876.0	-26.0	-593.0
860.0	-40.0	-609.0
878.0	-44.0	-611.0
854.0	-38.0	-610.0
874.0	-50.0	-614.0
868.0	-56.0	-628.0
880.0	-44.0	-603.0
888.0	-50.0	-604.0
886.0	-48.0	-614.0
872.0	-34.0	-610.0
872.0	-28.0	-601.0
