X,Y,Z
958.0,-58.0,-608.0
956.0,-40.0,-609.0
958.0,-48.0,-610.0
956.0,-50.0,-588.0
950.0,-48.0,-599.0
962.0,-40.0,-616.0
954.0,-44.0,-606.0
966.0,-36.0,-582.0
954.0,-32.0,-579.0
952.0,-36.0,-605.0
972.0,-38.0,-593.0
960.0,-52.0,-582.0
968.0,-38.0,-594.0
964.0,-32.0,-608.0
944.0,-44.0,-579.0
950.0,-38.0,-608.0
954.0,-36.0,-615.0
940.0,-40.0,-597.0
958.0,-38.0,-610.0
952.0,-46.0,-583.0
954.0,-34.0,-597.0
950.0,-50.0,-588.0
960.0,-30.0,-598.0
956.0,-38.0,-629.0
956.0,-44.0,-611.0
956.0,-64.0,-610.0
962.0,-38.0,-605.0
956.0,-44.0,-603.0
966.0,-32.0,-593.0
950.0,-32.0,-608.0
950.0,-44.0,-622.0
956.0,-40.0,-579.0
968.0,-52.0,-621.0
948.0,-48.0,-610.0
962.0,-48.0,-615.0
964.0,-44.0,-615.0
940.0,-46.0,-615.0
976.0,-44.0,-608.0
960.0,-36.0,-600.0
958.0,-56.0,-592.0
956.0,-40.0,-606.0
956.0,-60.0,-601.0
956.0,-42.0,-620.0
952.0,-32.0,-614.0
960.0,-22.0,-601.0
972.0,-48.0,-606.0
966.0,-36.0,-612.0
952.0,-34.0,-587.0
966.0,-46.0,-591.0
968.0,-6.0,-596.0
958.0,-34.0,-585.0
962.0,-42.0,-593.0
960.0,2.0,-615.0
964.0,-48.0,-602.0
960.0,-36.0,-581.0
952.0,-40.0,-588.0
952.0,-34.0,-618.0
956.0,-38.0,-589.0
960.0,-32.0,-593.0
950.0,-16.0,-600.0
956.0,-32.0,-601.0
960.0,-42.0,-590.0
950.0,-38.0,-586.0
966.0,-42.0,-599.0
962.0,-34.0,-608.0
970.0,-18.0,-605.0
944.0,-36.0,-585.0
956.0,-10.0,-598.0
968.0,-28.0,-624.0
984.0,-24.0,-587.0
956.0,-42.0,-592.0
960.0,-38.0,-603.0
968.0,-18.0,-587.0
